##Type: Reactive
##Nuclei: Carbon
##Particle: piM
##Reference: C. J. Gelderloos et al. Reaction and total cross sections for 400 to 500 MeV ⇡  on nuclei. Physical Review C, 62:024612, 2000.
##Mom xsec error
531.552 255 18.6
587.211 244 17.2
615.955 224 15.0
