##Type: Reactive
##Nuclei: Cu
##Particle: piM
##Reference: C. J. Gelderloos et al. Reaction and total cross sections for 400 to 500 MeV ⇡  on nuclei. Physical Review C, 62:024612, 2000.
##Mom xsec error
531.552 827 51
587.211 825 55
615.955 847 49
