##Type: ABS+CX
##Nuclei: Carbon
##Particle: piP
##Reference: D. Ashery, et al. True absorption and scattering of pions on nuclei. Phys. Rev., Vol. C23,p. 2173, 1981
##Mom xsec error
175.935 144 15
224.761 204 23
270.708 240 28
315.037 202 29
358.349 142 22
432.613 109 16
