##Type: Reactive
##Nuclei: Pb
##Particle: piM
##Reference: C. J. Gelderloos et al. Reaction and total cross sections for 400 to 500 MeV ⇡  on nuclei. Physical Review C, 62:024612, 2000.
##Mom xsec error
531.552 1922 131
587.211 1888 124
615.955 2005 274
