##Type: Reactive
##Nuclei: Al
##Particle: piP
##Reference: B. W. Allayrdice, et al. Pion Reaction Cross Sections and Nuclear Sizes. Allardyce Nucl Phys A 209 1 -51, 1973
##Note: Errors bloated to RMS (TN-108, Page 71)
##Mom xsec error
840 429 21
1000 451 21
1360 437 21
1580 435 21
